transaction_date,day_name,month_name,day_classification,time_buckets,number_of_sales,number_of_products,number_of_stores,revenue_per_day,spend_buckets,store_location,product_category,product_detail
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,6,01. Low_Spend,Lower Manhattan,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,3,1,1,15.5,01. Low_Spend,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,9,01. Low_Spend,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,2,1,1,4,01. Low_Spend,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3,01. Low_Spend,Lower Manhattan,Bakery,Oatmeal Scone
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,4,01. Low_Spend,Lower Manhattan,Coffee,Columbian Medium Roast Sm
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,4.25,01. Low_Spend,Lower Manhattan,Coffee,Latte Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,7,01. Low_Spend,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,2.55,01. Low_Spend,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,7,01. Low_Spend,Lower Manhattan,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3,01. Low_Spend,Lower Manhattan,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,6,01. Low_Spend,Lower Manhattan,Coffee,Ouro Brasileiro shot
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,6,01. Low_Spend,Lower Manhattan,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3.75,01. Low_Spend,Lower Manhattan,Bakery,Jumbo Savory Scone
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,2.5,01. Low_Spend,Hell's Kitchen,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,9,01. Low_Spend,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,4.75,01. Low_Spend,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,7,01. Low_Spend,Hell's Kitchen,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,5.1,01. Low_Spend,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3.25,01. Low_Spend,Lower Manhattan,Bakery,Hazelnut Biscotti
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,2.55,01. Low_Spend,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,2,1,1,11.25,01. Low_Spend,Hell's Kitchen,Coffee,Cappuccino
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3,01. Low_Spend,Lower Manhattan,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3.5,01. Low_Spend,Lower Manhattan,Bakery,Chocolate Chip Biscotti
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,6,01. Low_Spend,Lower Manhattan,Tea,Peppermint Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3.75,01. Low_Spend,Lower Manhattan,Bakery,Chocolate Croissant
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3.75,01. Low_Spend,Hell's Kitchen,Coffee,Latte
2023-01-01,Sun,Jan,Weekend,01. Morning,2,1,1,6,01. Low_Spend,Lower Manhattan,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,7,01. Low_Spend,Lower Manhattan,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,5,01. Low_Spend,Lower Manhattan,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,2.5,01. Low_Spend,Hell's Kitchen,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,4,01. Low_Spend,Lower Manhattan,Tea,Morning Sunrise Chai Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,3,1,1,22.5,01. Low_Spend,Hell's Kitchen,Coffee,Cappuccino
2023-01-01,Sun,Jan,Weekend,01. Morning,3,1,1,12,01. Low_Spend,Hell's Kitchen,Tea,Peppermint Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3,01. Low_Spend,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,7.5,01. Low_Spend,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,4.5,01. Low_Spend,Lower Manhattan,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,Weekend,01. Morning,2,1,1,7.6499999999999995,01. Low_Spend,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,3,01. Low_Spend,Lower Manhattan,Bakery,Oatmeal Scone
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,2.5,01. Low_Spend,Lower Manhattan,Tea,Peppermint Rg
2023-01-01,Sun,Jan,Weekend,01. Morning,1,1,1,2.5,01. Low_Spend,Lower Manhattan,Tea,English Breakfast Rg
